iter	RMSE
0	2.039054218
1	1.988559763
2	1.949075496
3	1.915732783
4	1.883159424
5	1.855939567
6	1.824643873
7	1.806798447
8	1.791633066
9	1.777533536
10	1.75847714
11	1.746839791
12	1.736671321
13	1.722840424
14	1.714662336
15	1.705707675
16	1.693748798
17	1.686468305
18	1.673539548
19	1.665258426
20	1.659028431
21	1.65379454
22	1.647487493
23	1.641261706
24	1.631798387
25	1.624102855
26	1.62002912
27	1.615982371
28	1.612856562
29	1.606479892
30	1.60271839
31	1.600284832
32	1.597250412
33	1.589906879
34	1.584999495
35	1.582522082
36	1.580685285
37	1.577550734
38	1.573059775
39	1.571412707
40	1.569023799
41	1.566003038
42	1.563935745
43	1.56213783
44	1.560389069
45	1.558747383
46	1.556893642
47	1.555844943
48	1.554035659
49	1.552237829
50	1.549103345
51	1.547435994
52	1.546024412
53	1.541870301
54	1.540160727
55	1.536511485
56	1.533930184
57	1.533152437
58	1.53170244
59	1.530024303
60	1.528834436
61	1.526591182
62	1.525546632
63	1.522354933
64	1.521455084
65	1.519496302
66	1.518222453
67	1.516341108
68	1.515061246
69	1.513718179
70	1.512905735
71	1.510783178
72	1.509416673
73	1.50829013
74	1.507217352
75	1.505799745
76	1.504415646
77	1.503396674
78	1.502675432
79	1.501555988
80	1.499444654
81	1.498928151
82	1.497962773
83	1.496971379
84	1.495625675
85	1.494452015
86	1.493619455
87	1.491968079
88	1.490859239
89	1.489839492
90	1.488666329
91	1.487998915
92	1.487270129
93	1.48597067
94	1.48482051
95	1.484034672
96	1.483583447
97	1.482950973
98	1.481454946
99	1.480370256
100	1.479287582
101	1.478428143
102	1.477561006
103	1.47670713
104	1.476170555
105	1.475593846
106	1.474903208
107	1.474026911
108	1.472725711
109	1.472264849
110	1.471244788
111	1.470368587
112	1.468934539
113	1.468109683
114	1.466959433
115	1.466164851
116	1.465839035
117	1.465009915
118	1.464122205
119	1.463177536
120	1.462384865
121	1.461761286
122	1.46074709
123	1.460301148
124	1.45943286
125	1.458588428
126	1.457545111
127	1.456959163
128	1.456102602
