iter	Passed	Remaining
0	8406	1672942
1	16125	1596462
2	23804	1563131
3	29822	1461294
4	36031	1405227
5	42338	1368929
6	47384	1306470
7	53826	1291846
8	59951	1272308
9	67000	1273005
10	74466	1279478
11	80745	1265019
12	87802	1262999
13	95128	1263846
14	101965	1257573
15	109979	1264759
16	116012	1248841
17	122884	1242501
18	129450	1233182
19	137181	1234636
20	143797	1225698
21	149888	1212735
22	158303	1218246
23	164937	1209538
24	171784	1202488
25	177473	1187708
26	184896	1184708
27	191675	1177436
28	198861	1172594
29	204892	1161057
30	211214	1151462
31	217663	1142731
32	225178	1139539
33	230666	1126193
34	237519	1119733
35	243204	1107932
36	247428	1090022
37	253923	1082515
38	261026	1077570
39	267644	1070578
40	273579	1060954
41	281487	1058927
42	286953	1047715
43	294285	1043376
44	299421	1031339
45	307483	1029401
46	312548	1017444
47	318131	1007416
48	324315	999420
49	330661	991983
50	337975	987420
51	343851	978653
52	350976	973462
53	356382	963553
54	364197	960156
55	371387	954997
56	377186	946275
57	382396	936213
58	388181	927688
59	395583	923028
60	402311	916742
61	408990	910334
62	413986	900255
63	419698	891859
64	424666	881999
65	429011	871023
66	435196	863898
67	441581	857187
68	448745	851966
69	455055	845103
70	462132	839649
71	469184	834106
72	477080	829989
73	485830	827225
74	492540	820900
75	499405	814819
76	504591	806036
77	511360	799819
78	517778	793053
79	523939	785909
80	531878	781401
81	538695	775195
82	544789	767956
83	550278	759908
84	557815	754691
85	564187	747876
86	571796	742677
87	578082	735741
88	583825	728142
89	588648	719458
90	595490	713279
91	598445	702522
92	605504	696655
93	611318	689358
94	617429	682422
95	623652	675623
96	629646	668593
97	636193	662161
98	642741	655725
99	650458	650458
100	657568	644547
101	662720	636731
102	669315	630325
103	675298	623352
104	681325	616437
105	688287	610368
106	695121	604171
107	701089	597224
108	710036	592782
109	716086	585888
110	720806	577944
111	727860	571890
112	734344	565380
113	741385	559290
114	747212	552287
115	753448	545600
116	760911	539791
117	766451	532618
118	772444	525781
119	778980	519320
120	785877	513093
121	794077	507689
122	801349	501658
123	807958	495200
124	814246	488547
125	820627	481955
126	827190	475471
127	834145	469206
128	840090	462375
